"id","dateStart","dateEnd","pair","uPnL","rPnL","side","entryPrice","initialSL","maxTP","idealTP","amount","amountClosed","status","day","tags","closeAvgPrice","avgRiskReward","maxRiskReward"
52148379,"21/07/23 09:42:00","21/07/23 09:45:00","CME_MINI:NQ1",0,-87,"sell",15675.25,,,15483.75,4,4,"closed",5,"","15697.00000",0,0
52152984,"26/07/23 09:43:00","26/07/23 10:06:00","CME_MINI:NQ1",0,31.5,"buy",15608.25,,15613.5,15917,6,6,"closed",3,"","15613.50000",0,0
52155702,"27/07/23 10:22:00","27/07/23 11:30:00","CME_MINI:NQ1",0,141,"sell",15836.25,,15790.25,15339.5,6,6,"closed",4,"","15812.75000",0,0
52157163,"28/07/23 09:24:00","28/07/23 09:41:00","CME_MINI:NQ1",0,-95,"sell",15733.5,,,15339.5,2,2,"closed",5,"","15781.00000",0,0
52157346,"28/07/23 10:40:00","28/07/23 10:41:00","CME_MINI:NQ1",0,-59,"sell",15800.25,,,15339.5,4,4,"closed",5,"","15815.00000",0,0
52157401,"28/07/23 10:44:00","28/07/23 10:58:00","CME_MINI:NQ1",0,-46,"sell",15797.75,,,15339.5,4,4,"closed",5,"","15809.25000",0,0
52290120,"31/07/23 09:35:00","31/07/23 09:38:00","CME_MINI:NQ1",0,-42,"sell",15866.25,,,15336.5,4,4,"closed",1,"","15876.75000",0,0
52290280,"31/07/23 09:52:00","31/07/23 10:03:00","CME_MINI:NQ1",0,121.5,"sell",15868.5,,15807.75,15336.5,2,2,"closed",1,"","15807.75000",0,0
52291684,"01/08/23 10:35:00","01/08/23 10:58:00","CME_MINI:NQ1",0,128.25,"buy",15800.75,,15830.75,15849.25,6,6,"closed",2,"","15822.12500",0,0
52292067,"01/08/23 14:16:00","01/08/23 14:26:00","CME_MINI:NQ1",0,0,"buy",15834.75,,,15849.25,2,2,"closed",2,"","15834.75000",0,0
52292857,"02/08/23 09:33:00","02/08/23 09:42:00","CME_MINI:NQ1",0,228.75,"sell",15642.75,,15593.5,15218,6,6,"closed",3,"","15604.62500",0,0
52293478,"03/08/23 10:23:00","03/08/23 10:36:00","CME_MINI:NQ1",0,-258,"sell",15384.75,,,15146.5,8,8,"closed",4,"","15417.00000",0,0
52293696,"03/08/23 13:54:00","03/08/23 14:19:00","CME_MINI:NQ1",0,2.5,"sell",15471.5,,15470.25,15136,2,2,"closed",4,"","15470.25000",0,0
52294003,"04/08/23 09:53:00","04/08/23 10:19:00","CME_MINI:NQ1",0,368.63,"sell",15473.5,,15395.75,15052,6,6,"closed",5,"","15412.06167",0,0.01
52438282,"10/08/23 10:39:00","10/08/23 11:20:00","CME_MINI:NQ1",0,198,"sell",15373.75,,15274.75,14856.75,2,2,"closed",4,"","15274.75000",0.01,0.01
52439614,"11/08/23 09:29:00","11/08/23 09:32:00","CME_MINI:NQ1",0,282.5,"sell",15091.25,,15063,14620,10,10,"closed",5,"","15063.00000",0,0
52573892,"14/08/23 09:55:00","14/08/23 10:02:00","CME_MINI:NQ1",0,0.5,"buy",15106.25,,15106.5,15335,2,2,"closed",1,"","15106.50000",0,0
52573957,"14/08/23 10:05:00","14/08/23 10:25:00","CME_MINI:NQ1",0,89.5,"buy",15123.25,,15168,15335,2,2,"closed",1,"","15168.00000",0,0
52574499,"15/08/23 09:42:00","15/08/23 10:48:00","CME_MINI:NQ1",0,448.3,"sell",15227.25,,15124,14609.25,6,6,"closed",2,"","15152.53333",0,0.01
52575097,"16/08/23 09:53:00","16/08/23 09:53:00","CME_MINI:NQ1",0,0,"sell",15098.5,,,14609.25,4,4,"closed",3,"","15098.50000",0,0
52575121,"16/08/23 09:53:00","16/08/23 10:07:00","CME_MINI:NQ1",0,-43,"sell",15098.5,,,14609.25,4,4,"closed",3,"","15109.25000",0,0
52575657,"17/08/23 09:49:00","17/08/23 10:01:00","CME_MINI:NQ1",0,27,"sell",14947,,14942.5,14609.25,6,6,"closed",4,"","14942.50000",0,0
52712227,"22/08/23 09:50:00","22/08/23 10:07:00","CME_MINI:NQ1",0,1,"sell",15032.5,,15032,14751.75,2,2,"closed",2,"","15032.00000",0,0
